"","groupe","poids"
"177","temoin",20.9
"178","temoin",18.7
"179","temoin",23
"180","temoin",19.9
"181","temoin",19.1
"182","temoin",17.7
"183","temoin",13.8
"184","temoin",17.8
"185","temoin",18.6
"186","temoin",24.7
"187","temoin",20.8
"188","temoin",26.5
"189","temoin",22.2
"190","temoin",17.7
"191","temoin",18.8
"192","temoin",21.9
"193","temoin",18.6
"194","temoin",18
"195","temoin",14.9
"196","temoin",18.4
"197","temoin",18.4
"198","temoin",19.4
"199","temoin",17
"200","temoin",18.5
"201","temoin",21
"202","temoin",14.6
"203","temoin",21.6
"204","temoin",18.1
"205","temoin",14.8
"206","temoin",19.7
"207","temoin",18.3
"208","temoin",20.4
"209","temoin",19.7
"210","temoin",21.4
"211","temoin",17.5
"212","temoin",18.6
"213","temoin",19.4
"214","temoin",15.7
"215","temoin",18.5
"216","temoin",19.7
"217","temoin",14.8
"218","temoin",17.8
"219","temoin",15.9
"220","temoin",16.7
"221","temoin",12.7
"222","temoin",20.9
"223","temoin",22.7
"224","temoin",22.1
"225","temoin",15.2
"226","temoin",20.6
"227","temoin",23.2
"228","temoin",18.5
"229","temoin",21.7
"230","temoin",19.8
"231","temoin",23
"232","temoin",16.9
"233","temoin",15.8
"234","temoin",19.6
"235","temoin",23.6
"236","temoin",22.8
"237","temoin",15.9
"238","temoin",15.7
"239","temoin",17.2
"240","temoin",20
"241","temoin",17.8
"242","temoin",17.8
"243","temoin",20.2
"244","temoin",17.3
"245","temoin",14.9
"246","temoin",19.1
"247","temoin",19.4
"248","temoin",21.9
"249","temoin",19
"250","temoin",20.1
"251","temoin",19.3
"252","temoin",19.6
"253","temoin",23.9
"254","temoin",22.8
"255","temoin",18.3
"256","temoin",16.4
"257","temoin",23
"258","temoin",16
"259","temoin",18.6
"260","temoin",22.4
"261","temoin",25.2
"262","temoin",21
"263","temoin",21.5
"264","temoin",20.9
"265","temoin",16
"266","temoin",18.6
"267","temoin",18.9
"268","temoin",14.9
"269","temoin",21.6
"270","temoin",21.8
"271","temoin",25.4
"272","temoin",21.7
"273","temoin",17.2
"274","temoin",18.7
"275","temoin",24.2
"276","temoin",18.5
"277","temoin",22.9
"278","temoin",21.7
"279","temoin",22.5
"280","temoin",24.1
"281","temoin",16.4
"282","temoin",19.5
"283","temoin",15.4
"284","temoin",22.8
"285","temoin",19.7
"286","temoin",16.1
"287","temoin",21.1
"288","temoin",19.7
"289","temoin",25.1
"290","temoin",15.1
"291","temoin",18.6
"292","temoin",18.3
"293","temoin",21.8
"294","temoin",27.7
"295","temoin",17.9
"296","temoin",14.3
"297","temoin",17.6
"298","temoin",18.5
"299","temoin",15
"300","temoin",15.1
